,FT9,Pz,F4,AF7,FC3,P2,FC4,AF4
FT9,0.42857142857142855,0.21428571428571427,0.35714285714285715,0.0,0.0,0.0,0.0,0.0
Pz,0.35,0.3,0.35,0.0,0.0,0.0,0.0,0.0
F4,0.4074074074074074,0.2222222222222222,0.37037037037037035,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
