,isthmuscingulate-rh,lateraloccipital-lh,lingual-lh,parahippocampal-rh,pericalcarine-lh,posteriorcingulate-rh,precuneus-lh,superiorparietal-lh
isthmuscingulate-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
lateraloccipital-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
lingual-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parahippocampal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pericalcarine-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
posteriorcingulate-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
precuneus-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
superiorparietal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
