,caudalanteriorcingulate-lh,entorhinal-lh,frontalpole-rh,fusiform-lh,inferiortemporal-lh,insula-rh,isthmuscingulate-rh,temporalpole-rh
caudalanteriorcingulate-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
entorhinal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
frontalpole-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
fusiform-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
inferiortemporal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
insula-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isthmuscingulate-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
temporalpole-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
