,cuneus-lh,frontalpole-rh,isthmuscingulate-rh,lateralorbitofrontal-lh,medialorbitofrontal-rh,parahippocampal-lh,parahippocampal-rh,precuneus-lh
cuneus-lh,0.39473684210526316,0.0,0.0,0.0,0.0,0.0,0.25,0.35526315789473684
frontalpole-rh,0.0,0.6444444444444445,0.0,0.35555555555555557,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-lh,0.0,0.27522935779816515,0.0,0.7247706422018348,0.0,0.0,0.0,0.0
medialorbitofrontal-rh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
parahippocampal-lh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
parahippocampal-rh,0.12618296529968454,0.0,0.0,0.0,0.0,0.0,0.4605678233438486,0.41324921135646686
precuneus-lh,0.16326530612244897,0.0,0.0,0.0,0.0,0.0,0.3760932944606414,0.4606413994169096
