,bankssts-rh,frontalpole-rh,parahippocampal-lh,parahippocampal-rh,posteriorcingulate-lh,posteriorcingulate-rh,rostralanteriorcingulate-rh,transversetemporal-rh
bankssts-rh,0.3485342019543974,0.0,0.003257328990228013,0.0,0.30944625407166126,0.3289902280130293,0.0,0.009771986970684038
frontalpole-rh,0.0,0.3073770491803279,0.11475409836065574,0.30327868852459017,0.0,0.0,0.19262295081967212,0.08196721311475409
parahippocampal-lh,0.0,0.0955223880597015,0.4835820895522388,0.0955223880597015,0.0,0.0,0.14925373134328357,0.1761194029850746
parahippocampal-rh,0.0,0.24324324324324326,0.0945945945945946,0.33783783783783783,0.0,0.0,0.24324324324324326,0.08108108108108109
posteriorcingulate-lh,0.19246031746031747,0.0,0.0,0.0,0.375,0.36507936507936506,0.06746031746031746,0.0
posteriorcingulate-rh,0.18327402135231316,0.0,0.0,0.0,0.3238434163701068,0.40391459074733094,0.08896797153024912,0.0
rostralanteriorcingulate-rh,0.0,0.08651911468812877,0.08853118712273642,0.13682092555331993,0.08048289738430583,0.11267605633802817,0.4909456740442656,0.004024144869215292
transversetemporal-rh,0.00392156862745098,0.08627450980392157,0.23921568627450981,0.10196078431372549,0.0,0.0,0.01568627450980392,0.5529411764705883
