,Fp1,F3,P4,CP2,AF7,AF3,AFz,P2
Fp1,0.1590909090909091,0.1590909090909091,0.18181818181818182,0.18181818181818182,0.1590909090909091,0.0,0.1590909090909091,0.0
F3,0.16,0.16,0.18,0.18,0.16,0.0,0.16,0.0
P4,0.05517241379310345,0.06206896551724138,0.38620689655172413,0.38620689655172413,0.05517241379310345,0.0,0.05517241379310345,0.0
CP2,0.05517241379310345,0.06206896551724138,0.38620689655172413,0.38620689655172413,0.05517241379310345,0.0,0.05517241379310345,0.0
AF7,0.1590909090909091,0.1590909090909091,0.18181818181818182,0.18181818181818182,0.1590909090909091,0.0,0.1590909090909091,0.0
AF3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6
AFz,0.1590909090909091,0.1590909090909091,0.18181818181818182,0.18181818181818182,0.1590909090909091,0.0,0.1590909090909091,0.0
P2,0.0,0.0,0.017543859649122806,0.017543859649122806,0.0,0.03508771929824561,0.0,0.9298245614035088
