,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,AF8,AF4,F2,FCz
Fp1,0.019325948621258544,0.016191374027810512,0.01777044543954749,0.016709875088380864,0.016686306858354937,0.01800612773980674,0.01805326419985859,0.018076832429884514,0.01748762667923639,0.018477492340325242,0.01795899127975489,0.018029695969832664,0.01786471835965119,0.010417157671458873,0.01786471835965119,0.01786471835965119,0.017935423049728966,0.0,0.01791185481970304,0.017652604289417863,0.016733443318406788,0.017982559509780817,0.01800612773980674,0.01800612773980674,0.01772330897949564,0.01786471835965119,0.017416921989158615,0.018123968889936365,0.017794013669573415,0.017841150129625265,0.01682771623851049,0.01772330897949564,0.01833608296016969,0.018194673580014142,0.01810040065991044,0.01772330897949564,0.01781758189959934,0.01772330897949564,0.017841150129625265,0.01781758189959934,0.0019797313221777044,0.0021211407023332546,0.002168277162385105,0.017794013669573415,0.002168277162385105,0.017982559509780817,0.01795899127975489,0.01795899127975489,0.01786471835965119,0.01805326419985859,0.017746877209521564,0.017935423049728966,0.01810040065991044,0.017982559509780817,0.017888286589677116,0.01786471835965119,0.018171105349988215,0.01791185481970304,0.018218241810040066,0.018029695969832664,0.018218241810040066
Fz,0.01756712794975101,0.018793323490403142,0.017867420735216837,0.017792347538850378,0.017867420735216837,0.017867420735216837,0.017867420735216837,0.017842396336428017,0.017892445134005657,0.017792347538850378,0.017867420735216837,0.017867420735216837,0.017892445134005657,0.009384149545807161,0.017867420735216837,0.017867420735216837,0.017867420735216837,0.0,0.017867420735216837,0.017892445134005657,0.017842396336428017,0.017892445134005657,0.017867420735216837,0.017867420735216837,0.017867420735216837,0.017892445134005657,0.017892445134005657,0.017867420735216837,0.017867420735216837,0.017892445134005657,0.01756712794975101,0.017817371937639197,0.017842396336428017,0.017842396336428017,0.017867420735216837,0.017892445134005657,0.017867420735216837,0.017867420735216837,0.017867420735216837,0.017867420735216837,0.0018768299091614323,0.002026976301894347,0.002077025099471985,0.017867420735216837,0.002077025099471985,0.017817371937639197,0.017867420735216837,0.017867420735216837,0.017867420735216837,0.017842396336428017,0.017867420735216837,0.017892445134005657,0.017842396336428017,0.017867420735216837,0.017867420735216837,0.017867420735216837,0.017842396336428017,0.017667225544906285,0.017842396336428017,0.017842396336428017,0.017842396336428017
F3,0.01788250634502992,0.016415581996414186,0.017952359885440194,0.016881272265816007,0.016904556779286095,0.018022213425850468,0.018022213425850468,0.018022213425850468,0.01769623023726919,0.01804549793932056,0.018068782452790647,0.01804549793932056,0.017975644398910286,0.00980278017090833,0.018022213425850468,0.017998928912380377,0.018022213425850468,0.0,0.018022213425850468,0.01785922183155983,0.016951125806226278,0.01804549793932056,0.01804549793932056,0.018022213425850468,0.017929075371970103,0.018022213425850468,0.01762637669685892,0.018022213425850468,0.017975644398910286,0.018022213425850468,0.01648543553682446,0.01788250634502992,0.018068782452790647,0.01804549793932056,0.018022213425850468,0.017905790858500012,0.017998928912380377,0.017929075371970103,0.017998928912380377,0.017975644398910286,0.0018161920506671013,0.0019558991314876477,0.0020024681584278298,0.017975644398910286,0.0020024681584278298,0.018022213425850468,0.01804549793932056,0.01804549793932056,0.017998928912380377,0.01809206696626074,0.017952359885440194,0.01804549793932056,0.01804549793932056,0.01804549793932056,0.018022213425850468,0.018022213425850468,0.017952359885440194,0.01720725545439728,0.017998928912380377,0.018068782452790647,0.01804549793932056
F7,0.0176863426209056,0.017246018738227453,0.017735267496758727,0.019276401086132242,0.018909464517233788,0.017784192372611855,0.017784192372611855,0.017784192372611855,0.017784192372611855,0.017784192372611855,0.017808654810538418,0.017833117248464984,0.017710805058832164,0.009222339098314538,0.017833117248464984,0.017784192372611855,0.017808654810538418,0.0,0.017833117248464984,0.017833117248464984,0.017808654810538418,0.017808654810538418,0.017833117248464984,0.017784192372611855,0.017808654810538418,0.017784192372611855,0.017784192372611855,0.01775972993468529,0.017808654810538418,0.017784192372611855,0.01886053964138066,0.017661880182979036,0.017833117248464984,0.017808654810538418,0.017735267496758727,0.017735267496758727,0.017808654810538418,0.017784192372611855,0.017857579686391546,0.017784192372611855,0.0023239316030235573,0.00247070623058294,0.0025196311064360675,0.017808654810538418,0.0025196311064360675,0.017808654810538418,0.017808654810538418,0.017808654810538418,0.017808654810538418,0.01788204212431811,0.017808654810538418,0.017857579686391546,0.017808654810538418,0.017808654810538418,0.017833117248464984,0.017808654810538418,0.0176863426209056,0.016879082169328995,0.017808654810538418,0.017833117248464984,0.017833117248464984
FT9,0.017669836290559748,0.01727771787079698,0.017767865895500442,0.018944221154788745,0.01904225075972944,0.017816880697970786,0.017816880697970786,0.017816880697970786,0.01784138809920596,0.017816880697970786,0.017865895500441133,0.017865895500441133,0.017767865895500442,0.009263797666895402,0.017865895500441133,0.017816880697970786,0.01784138809920596,0.0,0.017865895500441133,0.017890402901676306,0.01784138809920596,0.017865895500441133,0.017865895500441133,0.017816880697970786,0.01784138809920596,0.01784138809920596,0.01784138809920596,0.017792373296735615,0.01784138809920596,0.01784138809920596,0.018625624938731496,0.017718851093030095,0.017865895500441133,0.01784138809920596,0.017792373296735615,0.017792373296735615,0.01784138809920596,0.017816880697970786,0.017890402901676306,0.017816880697970786,0.0019360846975786687,0.002083129104989707,0.002132143907460053,0.01784138809920596,0.002132143907460053,0.01784138809920596,0.01784138809920596,0.01784138809920596,0.01784138809920596,0.01791491030291148,0.01784138809920596,0.01791491030291148,0.01784138809920596,0.01784138809920596,0.017865895500441133,0.01784138809920596,0.017718851093030095,0.016910106852269385,0.01784138809920596,0.017865895500441133,0.017865895500441133
FC5,0.01801697351945462,0.016324259147613967,0.017877846310810182,0.0168112043778695,0.0168112043778695,0.01808653712377684,0.018109724991884246,0.018109724991884246,0.01759959189352131,0.018156100728099058,0.018063349255669433,0.018109724991884246,0.017970597783239808,0.00983165607754023,0.017970597783239808,0.017970597783239808,0.018040161387562027,0.0,0.01801697351945462,0.017761906970273154,0.016857580114084312,0.01808653712377684,0.01808653712377684,0.01808653712377684,0.017831470574595373,0.017970597783239808,0.01753002828919909,0.018109724991884246,0.01790103417891759,0.0179474099151324,0.016393822751936186,0.017831470574595373,0.018156100728099058,0.018132912859991652,0.018109724991884246,0.017831470574595373,0.017924222047024995,0.017831470574595373,0.0179474099151324,0.017924222047024995,0.0018318415804850902,0.0019709687891295274,0.00201734452534434,0.01790103417891759,0.00201734452534434,0.01808653712377684,0.018063349255669433,0.018063349255669433,0.017970597783239808,0.018156100728099058,0.01785465844270278,0.018040161387562027,0.018132912859991652,0.01808653712377684,0.017993785651347214,0.017970597783239808,0.018040161387562027,0.01729814960812503,0.018109724991884246,0.018132912859991652,0.018132912859991652
FC1,0.018030545319706135,0.01631555771860298,0.017868316762845025,0.016779067881063293,0.01680224338918631,0.01810007184407518,0.018123247352198196,0.018146422860321212,0.01759021066536884,0.01816959836844423,0.01805372082782915,0.018123247352198196,0.017961018795337087,0.009849590952281629,0.017961018795337087,0.017961018795337087,0.018030545319706135,0.0,0.01800736981158312,0.017752439222229948,0.01684859440543234,0.018076896335952167,0.01810007184407518,0.01810007184407518,0.017821965746598993,0.017961018795337087,0.01752068414099979,0.018146422860321212,0.01789149227096804,0.017937843287214074,0.016385084242972026,0.017821965746598993,0.018192773876567245,0.01816959836844423,0.018146422860321212,0.017821965746598993,0.017914667779091058,0.017821965746598993,0.017914667779091058,0.017914667779091058,0.001830865141718232,0.001969918190456326,0.002016269206702357,0.01789149227096804,0.002016269206702357,0.018076896335952167,0.01805372082782915,0.01805372082782915,0.017961018795337087,0.018123247352198196,0.01784514125472201,0.01800736981158312,0.01816959836844423,0.018076896335952167,0.017984194303460103,0.017961018795337087,0.018076896335952167,0.017335280076015668,0.018123247352198196,0.018123247352198196,0.01816959836844423
C3,0.018072987959074773,0.016309769621604065,0.01786418578753219,0.016773774447254253,0.01679697468853676,0.018096188200357282,0.018119388441639794,0.018142588682922303,0.017585782892142077,0.01818898916548732,0.018049787717792264,0.018119388441639794,0.01795698675266223,0.00983690230378396,0.01795698675266223,0.01795698675266223,0.018026587476509755,0.0,0.018003387235227247,0.017748184581119642,0.01684337517110178,0.018072987959074773,0.018096188200357282,0.018096188200357282,0.017817785304967172,0.01795698675266223,0.01751618216829455,0.018165788924204812,0.0178873860288147,0.01793378651137972,0.01637937034545159,0.017817785304967172,0.01821218940676983,0.01818898916548732,0.018142588682922303,0.017817785304967172,0.017910586270097208,0.017817785304967172,0.017910586270097208,0.017910586270097208,0.0018328190613182377,0.001972020509013294,0.0020184209915783125,0.0178873860288147,0.0020184209915783125,0.018072987959074773,0.018049787717792264,0.018049787717792264,0.01795698675266223,0.018119388441639794,0.01784098554624968,0.018003387235227247,0.018165788924204812,0.018072987959074773,0.017980186993944738,0.01795698675266223,0.018096188200357282,0.017353780479316985,0.018142588682922303,0.018119388441639794,0.01818898916548732
T7,0.017812426175289393,0.016654854712969524,0.01793054571226081,0.017127332860855184,0.01715095676824947,0.017977793527049375,0.017977793527049375,0.017977793527049375,0.01793054571226081,0.01795416961965509,0.01802504134183794,0.018001417434443657,0.017906921804866523,0.009685802031656036,0.017977793527049375,0.01795416961965509,0.017977793527049375,0.0,0.017977793527049375,0.01802504134183794,0.017198204583038036,0.018001417434443657,0.018001417434443657,0.017977793527049375,0.01795416961965509,0.017977793527049375,0.01785967399007796,0.01795416961965509,0.01795416961965509,0.017977793527049375,0.016725726435152376,0.017836050082683675,0.01802504134183794,0.018001417434443657,0.01795416961965509,0.017906921804866523,0.017977793527049375,0.01795416961965509,0.017977793527049375,0.01793054571226081,0.0018662886841483582,0.002008032128514056,0.0020552799433026223,0.017977793527049375,0.0020552799433026223,0.017977793527049375,0.018001417434443657,0.018001417434443657,0.01795416961965509,0.018048665249232224,0.01795416961965509,0.018001417434443657,0.018001417434443657,0.018001417434443657,0.017977793527049375,0.017977793527049375,0.017883297897472242,0.017103708953460903,0.01795416961965509,0.01802504134183794,0.018001417434443657
TP9,0.01849654498499337,0.016262999930201718,0.017821828249691724,0.016774854005258136,0.01675158791093739,0.01805448919289919,0.01810102138154068,0.018124287475861426,0.017542635117842768,0.01849654498499337,0.018007957004257696,0.018077755287219933,0.01791489262697471,0.009934622274958702,0.01791489262697471,0.01791489262697471,0.01798469090993695,0.0,0.017961424815616203,0.017705497778087994,0.016798120099578883,0.018031223098578443,0.01805448919289919,0.01805448919289919,0.01777529606105023,0.01791489262697471,0.017472836834880528,0.01817081966450292,0.01784509434401247,0.017891626532653963,0.016332798213163958,0.01777529606105023,0.01838021451338964,0.01824061794746516,0.018147553570182173,0.01777529606105023,0.017868360438333217,0.01777529606105023,0.017891626532653963,0.017868360438333217,0.0018380214513389638,0.001977618017263442,0.0020241502059049348,0.01784509434401247,0.0020241502059049348,0.018031223098578443,0.018007957004257696,0.018007957004257696,0.01791489262697471,0.01810102138154068,0.017798562155370977,0.01798469090993695,0.018147553570182173,0.018031223098578443,0.017938158721295457,0.01791489262697471,0.018217351853144412,0.017705497778087994,0.01824061794746516,0.018077755287219933,0.018263884041785906
