,fusiform-rh,inferiortemporal-lh,inferiortemporal-rh,insula-rh,medialorbitofrontal-lh,middletemporal-lh,parahippocampal-lh,parahippocampal-rh
fusiform-rh,0.3902439024390244,0.0,0.14634146341463414,0.14634146341463414,0.0,0.0,0.0,0.3170731707317073
inferiortemporal-lh,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.36363636363636365,0.0
inferiortemporal-rh,0.18181818181818182,0.0,0.36363636363636365,0.3333333333333333,0.0,0.0,0.0,0.12121212121212122
insula-rh,0.18181818181818182,0.0,0.36363636363636365,0.3333333333333333,0.0,0.0,0.0,0.12121212121212122
medialorbitofrontal-lh,0.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555,0.0,0.0
middletemporal-lh,0.0,0.0,0.0,0.0,0.15,0.85,0.0,0.0
parahippocampal-lh,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.0
parahippocampal-rh,0.425,0.0,0.1,0.1,0.0,0.0,0.0,0.375
