,entorhinal-lh,frontalpole-rh,isthmuscingulate-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,rostralanteriorcingulate-rh,temporalpole-lh,temporalpole-rh
entorhinal-lh,0.8428571428571429,0.0,0.0,0.14285714285714285,0.0,0.014285714285714285,0.0,0.0
frontalpole-rh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
medialorbitofrontal-lh,0.21739130434782608,0.0,0.0,0.782608695652174,0.0,0.0,0.0,0.0
medialorbitofrontal-rh,0.0,0.0,0.0,0.0,0.55,0.05,0.4,0.0
rostralanteriorcingulate-rh,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
temporalpole-lh,0.0,0.0,0.0,0.0,0.1875,0.0,0.8125,0.0
temporalpole-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
