,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,AF8,AF4,F2,FCz
Fp1,0.06190476190476191,0.0,0.0,0.0,0.0,0.0,0.0,0.002380952380952381,0.0,0.04047619047619048,0.002380952380952381,0.06666666666666667,0.0,0.007142857142857143,0.0,0.05476190476190476,0.0,0.0,0.0,0.0,0.004761904761904762,0.0,0.0,0.0,0.0,0.002380952380952381,0.0,0.002380952380952381,0.0,0.0380952380952381,0.007142857142857143,0.0,0.06428571428571428,0.0,0.0,0.06666666666666667,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.06428571428571428,0.0,0.0,0.0,0.0,0.05952380952380952,0.06428571428571428,0.05714285714285714,0.06428571428571428,0.06428571428571428,0.0,0.030952380952380953,0.04047619047619048,0.06428571428571428,0.0,0.0380952380952381
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.04186046511627907,0.046511627906976744,0.023255813953488372,0.027906976744186046,0.023255813953488372,0.013953488372093023,0.046511627906976744,0.0,0.04186046511627907,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.023255813953488372,0.0,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.04186046511627907,0.037209302325581395,0.046511627906976744,0.013953488372093023,0.046511627906976744,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.018604651162790697,0.009302325581395349,0.046511627906976744,0.046511627906976744,0.0,0.0,0.0,0.0,0.009302325581395349,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.046511627906976744,0.0
F7,0.0,0.0,0.02320185614849188,0.048723897911832945,0.01160092807424594,0.03480278422273782,0.030162412993039442,0.01160092807424594,0.04408352668213457,0.0,0.04640371229698376,0.0,0.04408352668213457,0.0,0.0,0.0,0.0,0.0,0.05104408352668213,0.01160092807424594,0.0,0.016241299303944315,0.048723897911832945,0.05104408352668213,0.04176334106728538,0.04408352668213457,0.05104408352668213,0.01160092807424594,0.04640371229698376,0.0,0.0,0.048723897911832945,0.0,0.0,0.0,0.0,0.013921113689095127,0.004640371229698376,0.05104408352668213,0.05336426914153132,0.0,0.004640371229698376,0.0,0.0,0.009280742459396751,0.0,0.0,0.0,0.05104408352668213,0.0,0.0,0.0,0.0,0.0,0.0,0.05104408352668213,0.0,0.0,0.0,0.04408352668213457,0.0
FT9,0.0,0.0,0.04950495049504951,0.04950495049504951,0.039603960396039604,0.019801980198019802,0.009900990099009901,0.0,0.04950495049504951,0.0,0.04950495049504951,0.0,0.04950495049504951,0.0,0.0,0.0,0.0,0.0,0.04950495049504951,0.0297029702970297,0.0,0.009900990099009901,0.04950495049504951,0.04950495049504951,0.04950495049504951,0.039603960396039604,0.04950495049504951,0.0,0.04950495049504951,0.0,0.0,0.04950495049504951,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.04950495049504951,0.04950495049504951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04950495049504951,0.0,0.0,0.0,0.0,0.0,0.0,0.04950495049504951,0.0,0.0,0.0,0.04950495049504951,0.0
FC5,0.0,0.0,0.020202020202020204,0.045454545454545456,0.010101010101010102,0.04292929292929293,0.03787878787878788,0.017676767676767676,0.04040404040404041,0.0,0.047979797979797977,0.0,0.03787878787878788,0.0,0.0,0.0,0.0,0.0,0.047979797979797977,0.012626262626262626,0.0,0.022727272727272728,0.047979797979797977,0.047979797979797977,0.045454545454545456,0.047979797979797977,0.047979797979797977,0.017676767676767676,0.045454545454545456,0.0,0.0,0.047979797979797977,0.0,0.0,0.0,0.0,0.020202020202020204,0.0,0.045454545454545456,0.047979797979797977,0.0,0.005050505050505051,0.0,0.0,0.012626262626262626,0.0,0.0,0.0,0.047979797979797977,0.0,0.0,0.0,0.0,0.0,0.0,0.047979797979797977,0.0,0.0,0.0,0.04040404040404041,0.0
FC1,0.0,0.0,0.020348837209302327,0.0436046511627907,0.00872093023255814,0.046511627906976744,0.040697674418604654,0.020348837209302327,0.040697674418604654,0.0,0.046511627906976744,0.0,0.0377906976744186,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.011627906976744186,0.0,0.02616279069767442,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.020348837209302327,0.0436046511627907,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0436046511627907,0.046511627906976744,0.0,0.005813953488372093,0.0,0.0,0.014534883720930232,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.040697674418604654,0.0
C3,0.0,0.0,0.025,0.035,0.005,0.045,0.045,0.04,0.03,0.0,0.045,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.04,0.045,0.045,0.04,0.045,0.045,0.04,0.035,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.045,0.0,0.035,0.045,0.0,0.01,0.0,0.0,0.025,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.03,0.0
T7,0.0,0.0,0.026595744680851064,0.05053191489361702,0.013297872340425532,0.034574468085106384,0.02925531914893617,0.010638297872340425,0.04521276595744681,0.0,0.04521276595744681,0.0,0.047872340425531915,0.0,0.0,0.0,0.0,0.0,0.05053191489361702,0.013297872340425532,0.0,0.015957446808510637,0.047872340425531915,0.05053191489361702,0.0425531914893617,0.0425531914893617,0.05053191489361702,0.010638297872340425,0.047872340425531915,0.0,0.0,0.047872340425531915,0.0,0.0,0.0,0.0,0.013297872340425532,0.005319148936170213,0.05053191489361702,0.05053191489361702,0.0,0.0026595744680851063,0.0,0.0,0.007978723404255319,0.0,0.0,0.0,0.05053191489361702,0.0,0.0,0.0,0.0,0.0,0.0,0.05053191489361702,0.0,0.0,0.0,0.04521276595744681,0.0
TP9,0.056291390728476824,0.0,0.0,0.0,0.0,0.0,0.0,0.0033112582781456954,0.0,0.052980132450331126,0.0033112582781456954,0.059602649006622516,0.0,0.009933774834437087,0.0,0.04966887417218543,0.0,0.0,0.0,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.0033112582781456954,0.0,0.0033112582781456954,0.0,0.04966887417218543,0.009933774834437087,0.0,0.056291390728476824,0.0,0.0,0.056291390728476824,0.0,0.009933774834437087,0.0,0.0,0.0,0.0,0.0,0.033112582781456956,0.0,0.056291390728476824,0.0,0.0,0.0,0.0,0.052980132450331126,0.056291390728476824,0.056291390728476824,0.056291390728476824,0.056291390728476824,0.0,0.04304635761589404,0.052980132450331126,0.056291390728476824,0.0,0.04966887417218543
