,CP1,FC2,AF7,AF3,AFz,P1,AF8,AF4
CP1,0.35106382978723405,0.3617021276595745,0.0,0.0,0.0,0.2872340425531915,0.0,0.0
FC2,0.272,0.48,0.0,0.0,0.0,0.248,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFz,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
P1,0.32222222222222224,0.34444444444444444,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
