,caudalmiddlefrontal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,precentral-lh,superiorparietal-lh,superiortemporal-lh,supramarginal-lh
caudalmiddlefrontal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parsopercularis-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parstriangularis-rh,0.11274509803921569,0.11274509803921569,0.19934640522875818,0.11274509803921569,0.11274509803921569,0.11274509803921569,0.12418300653594772,0.11274509803921569
postcentral-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
precentral-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
superiorparietal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
superiortemporal-lh,0.12234042553191489,0.12234042553191489,0.13297872340425532,0.12234042553191489,0.12234042553191489,0.12234042553191489,0.13297872340425532,0.12234042553191489
supramarginal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
