,caudalmiddlefrontal-rh,parsopercularis-lh,postcentral-lh,postcentral-rh,precentral-lh,superiorparietal-lh,superiortemporal-lh,supramarginal-lh
caudalmiddlefrontal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parsopercularis-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
postcentral-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
postcentral-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
precentral-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
superiorparietal-lh,0.12454873646209386,0.12454873646209386,0.12454873646209386,0.12454873646209386,0.12454873646209386,0.1263537906137184,0.1263537906137184,0.12454873646209386
superiortemporal-lh,0.11937716262975778,0.11937716262975778,0.11937716262975778,0.11937716262975778,0.11937716262975778,0.12283737024221453,0.16089965397923875,0.11937716262975778
supramarginal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
