,Fp1,Pz,Oz,P8,FT10,Fp2,AF7,CPz
Fp1,0.3370165745856354,0.0,0.0,0.0,0.0,0.3370165745856354,0.3259668508287293,0.0
Pz,0.0,0.3125,0.0,0.0,0.0,0.0,0.34375,0.34375
Oz,0.0,0.0,0.49609375,0.0,0.50390625,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT10,0.0,0.0,0.4243421052631579,0.0,0.5756578947368421,0.0,0.0,0.0
Fp2,0.3333333333333333,0.0,0.0,0.0,0.0,0.34946236559139787,0.3172043010752688,0.0
AF7,0.24050632911392406,0.04219409282700422,0.0,0.0,0.0,0.24050632911392406,0.4219409282700422,0.05485232067510549
CPz,0.0,0.2702702702702703,0.0,0.0,0.0,0.0,0.3783783783783784,0.35135135135135137
