,cuneus-lh,cuneus-rh,fusiform-rh,isthmuscingulate-rh,lateraloccipital-rh,parahippocampal-rh,pericalcarine-rh,temporalpole-rh
cuneus-lh,0.875,0.0,0.0,0.0,0.125,0.0,0.0,0.0
cuneus-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fusiform-rh,0.0,0.0,0.6111111111111112,0.0,0.0,0.2777777777777778,0.0,0.1111111111111111
isthmuscingulate-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lateraloccipital-rh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
parahippocampal-rh,0.0,0.0,0.2692307692307692,0.0,0.0,0.4230769230769231,0.0,0.3076923076923077
pericalcarine-rh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
temporalpole-rh,0.0,0.0,0.14814814814814814,0.0,0.0,0.37037037037037035,0.0,0.48148148148148145
