,entorhinal-lh,frontalpole-lh,frontalpole-rh,lateraloccipital-lh,medialorbitofrontal-rh,parahippocampal-lh,parahippocampal-rh,temporalpole-lh
entorhinal-lh,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
frontalpole-lh,0.0,0.29411764705882354,0.29411764705882354,0.0,0.3235294117647059,0.0,0.08823529411764706,0.0
frontalpole-rh,0.0,0.29411764705882354,0.29411764705882354,0.0,0.3235294117647059,0.0,0.08823529411764706,0.0
lateraloccipital-lh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
medialorbitofrontal-rh,0.0,0.2857142857142857,0.2857142857142857,0.0,0.34285714285714286,0.0,0.08571428571428572,0.0
parahippocampal-lh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
parahippocampal-rh,0.0,0.26666666666666666,0.26666666666666666,0.0,0.26666666666666666,0.0,0.2,0.0
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
