,frontalpole-rh,lateralorbitofrontal-rh,lingual-lh,medialorbitofrontal-rh,parahippocampal-lh,parsorbitalis-rh,parstriangularis-rh,temporalpole-rh
frontalpole-rh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-rh,0.0,0.35135135135135137,0.0,0.08108108108108109,0.0,0.2972972972972973,0.24324324324324326,0.02702702702702703
lingual-lh,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0
medialorbitofrontal-rh,0.0,0.10714285714285714,0.0,0.5,0.0,0.0,0.0,0.39285714285714285
parahippocampal-lh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
parsorbitalis-rh,0.0,0.23076923076923078,0.0,0.0,0.0,0.38461538461538464,0.38461538461538464,0.0
parstriangularis-rh,0.0,0.2,0.0,0.0,0.0,0.37142857142857144,0.42857142857142855,0.0
temporalpole-rh,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.625
