,bankssts-lh,caudalanteriorcingulate-lh,frontalpole-rh,inferiorparietal-lh,insula-lh,lateralorbitofrontal-lh,rostralmiddlefrontal-lh,superiorparietal-lh
bankssts-lh,0.140625,0.140625,0.015625,0.140625,0.140625,0.140625,0.140625,0.140625
caudalanteriorcingulate-lh,0.140625,0.140625,0.015625,0.140625,0.140625,0.140625,0.140625,0.140625
frontalpole-rh,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
inferiorparietal-lh,0.140625,0.140625,0.015625,0.140625,0.140625,0.140625,0.140625,0.140625
insula-lh,0.140625,0.140625,0.015625,0.140625,0.140625,0.140625,0.140625,0.140625
lateralorbitofrontal-lh,0.140625,0.140625,0.015625,0.140625,0.140625,0.140625,0.140625,0.140625
rostralmiddlefrontal-lh,0.140625,0.140625,0.015625,0.140625,0.140625,0.140625,0.140625,0.140625
superiorparietal-lh,0.140625,0.140625,0.015625,0.140625,0.140625,0.140625,0.140625,0.140625
