,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
Fz,0.033854166666666664,0.041666666666666664,0.0390625,0.041666666666666664,0.041666666666666664,0.010416666666666666,0.0,0.0,0.036458333333333336,0.0390625,0.033854166666666664,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0390625,0.0,0.0,0.0,0.028645833333333332,0.0390625,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0234375,0.0078125,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.036458333333333336,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0
F3,0.01905972045743329,0.05590851334180432,0.03303684879288437,0.054637865311308764,0.04066073697585769,0.005082592121982211,0.0,0.0,0.021601016518424398,0.025412960609911054,0.01905972045743329,0.0012706480304955528,0.052096569250317665,0.0,0.0025412960609911056,0.052096569250317665,0.0012706480304955528,0.0,0.0,0.05972045743329098,0.02795425667090216,0.0,0.0,0.0,0.01397712833545108,0.03176620076238882,0.054637865311308764,0.03430749682337993,0.05972045743329098,0.0,0.0,0.05717916137229987,0.0,0.0038119440914866584,0.0,0.0012706480304955528,0.0,0.0012706480304955528,0.0,0.04066073697585769,0.0,0.0,0.0,0.0,0.015247776365946633,0.0038119440914866584,0.0,0.0,0.04955527318932656,0.0,0.05972045743329098,0.0,0.0241423125794155,0.0,0.0,0.0,0.0,0.035578144853875476,0.0,0.0,0.04193138500635324,0.0
F7,0.02586206896551724,0.04482758620689655,0.041379310344827586,0.04482758620689655,0.041379310344827586,0.006896551724137931,0.0,0.0,0.027586206896551724,0.034482758620689655,0.02586206896551724,0.0017241379310344827,0.04655172413793104,0.0,0.0034482758620689655,0.04482758620689655,0.0017241379310344827,0.0,0.0,0.04655172413793104,0.03620689655172414,0.0,0.0,0.0,0.01896551724137931,0.039655172413793106,0.04482758620689655,0.041379310344827586,0.04655172413793104,0.0,0.0,0.04655172413793104,0.0,0.005172413793103448,0.0,0.0017241379310344827,0.0,0.0017241379310344827,0.0,0.04482758620689655,0.0,0.0,0.0,0.0,0.020689655172413793,0.005172413793103448,0.0,0.0,0.04482758620689655,0.0,0.04482758620689655,0.0,0.032758620689655175,0.0,0.0,0.0,0.0,0.04310344827586207,0.0,0.0,0.04310344827586207,0.0
FT9,0.019230769230769232,0.05512820512820513,0.03333333333333333,0.05512820512820513,0.041025641025641026,0.005128205128205128,0.0,0.0,0.021794871794871794,0.02564102564102564,0.019230769230769232,0.001282051282051282,0.052564102564102565,0.0,0.002564102564102564,0.052564102564102565,0.001282051282051282,0.0,0.0,0.057692307692307696,0.028205128205128206,0.0,0.0,0.0,0.014102564102564103,0.03205128205128205,0.05512820512820513,0.03461538461538462,0.057692307692307696,0.0,0.0,0.057692307692307696,0.0,0.0038461538461538464,0.0,0.001282051282051282,0.0,0.001282051282051282,0.0,0.041025641025641026,0.0,0.0,0.0,0.0,0.015384615384615385,0.0038461538461538464,0.0,0.0,0.05,0.0,0.057692307692307696,0.0,0.02435897435897436,0.0,0.0,0.0,0.0,0.035897435897435895,0.0,0.0,0.04230769230769231,0.0
FC5,0.022727272727272728,0.05,0.03787878787878788,0.05,0.04393939393939394,0.006060606060606061,0.0,0.0,0.025757575757575757,0.030303030303030304,0.022727272727272728,0.0,0.048484848484848485,0.0,0.0015151515151515152,0.048484848484848485,0.0,0.0,0.0,0.05,0.03333333333333333,0.0,0.0,0.0,0.016666666666666666,0.03636363636363636,0.05,0.03939393939393939,0.05,0.0,0.0,0.05,0.0,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.04696969696969697,0.0,0.0,0.0,0.0,0.016666666666666666,0.004545454545454545,0.0,0.0,0.048484848484848485,0.0,0.05,0.0,0.02878787878787879,0.0,0.0,0.0,0.0,0.04090909090909091,0.0,0.0,0.045454545454545456,0.0
FC1,0.03007518796992481,0.03759398496240601,0.03759398496240601,0.03759398496240601,0.03759398496240601,0.03007518796992481,0.0,0.0,0.03007518796992481,0.03759398496240601,0.03759398496240601,0.0,0.03759398496240601,0.0,0.0,0.03759398496240601,0.0,0.0,0.0,0.03759398496240601,0.03759398496240601,0.0,0.0,0.0,0.03759398496240601,0.03759398496240601,0.03759398496240601,0.03759398496240601,0.03759398496240601,0.0,0.0,0.03759398496240601,0.0,0.022556390977443608,0.0,0.0,0.0,0.0,0.0,0.03759398496240601,0.0,0.0,0.0,0.0,0.03759398496240601,0.022556390977443608,0.0,0.0,0.03759398496240601,0.0,0.03759398496240601,0.0,0.03759398496240601,0.0,0.0,0.0,0.0,0.03759398496240601,0.0,0.0,0.03759398496240601,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.03409090909090909,0.0,0.0,0.0,0.03409090909090909,0.0,0.03409090909090909,0.015151515151515152,0.0,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.0,0.0,0.03409090909090909,0.0,0.03409090909090909,0.0,0.0,0.0,0.0,0.0,0.03409090909090909,0.022727272727272728,0.0,0.03409090909090909,0.0,0.030303030303030304,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.0,0.0,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.0,0.0,0.015151515151515152,0.03409090909090909,0.0,0.03409090909090909,0.0,0.03409090909090909,0.0,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.0,0.03409090909090909,0.0,0.0,0.03409090909090909
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0121580547112462,0.0364741641337386,0.0,0.0,0.0,0.037993920972644375,0.0,0.03951367781155015,0.0060790273556231,0.0,0.037993920972644375,0.0364741641337386,0.0364741641337386,0.0,0.0,0.03951367781155015,0.0,0.037993920972644375,0.0,0.0,0.0,0.0,0.0,0.03951367781155015,0.0121580547112462,0.0,0.03951367781155015,0.0,0.0121580547112462,0.0243161094224924,0.0364741641337386,0.03951367781155015,0.0,0.0,0.034954407294832825,0.03951367781155015,0.03951367781155015,0.037993920972644375,0.0,0.0,0.0121580547112462,0.019756838905775075,0.0,0.03951367781155015,0.0,0.028875379939209727,0.0,0.03951367781155015,0.03951367781155015,0.0364741641337386,0.028875379939209727,0.0,0.03951367781155015,0.0,0.0,0.03951367781155015
TP9,0.0330188679245283,0.04245283018867924,0.04009433962264151,0.04245283018867924,0.04245283018867924,0.009433962264150943,0.0,0.0,0.03537735849056604,0.03773584905660377,0.030660377358490566,0.0,0.04245283018867924,0.0,0.0,0.04245283018867924,0.0,0.0,0.0,0.04245283018867924,0.04009433962264151,0.0,0.0,0.0,0.025943396226415096,0.04009433962264151,0.04245283018867924,0.04245283018867924,0.04245283018867924,0.0,0.0,0.04245283018867924,0.0,0.007075471698113208,0.0,0.0,0.0,0.0,0.0,0.04245283018867924,0.0,0.0,0.0,0.0,0.02122641509433962,0.007075471698113208,0.0,0.0,0.04245283018867924,0.0,0.04245283018867924,0.0,0.03537735849056604,0.0,0.0,0.0,0.0,0.04245283018867924,0.0,0.0,0.04245283018867924,0.0
CP5,0.02736842105263158,0.042105263157894736,0.04,0.042105263157894736,0.04,0.008421052631578947,0.0,0.0,0.029473684210526315,0.037894736842105266,0.031578947368421054,0.002105263157894737,0.04421052631578947,0.0,0.004210526315789474,0.042105263157894736,0.002105263157894737,0.0,0.0,0.04421052631578947,0.037894736842105266,0.0,0.0,0.0,0.023157894736842106,0.04,0.042105263157894736,0.04,0.04421052631578947,0.0,0.0,0.04421052631578947,0.0,0.00631578947368421,0.0,0.002105263157894737,0.0,0.002105263157894737,0.0,0.042105263157894736,0.0,0.0,0.0,0.0,0.02526315789473684,0.00631578947368421,0.0,0.0,0.042105263157894736,0.0,0.042105263157894736,0.0,0.037894736842105266,0.0,0.0,0.0,0.0,0.042105263157894736,0.0,0.0,0.042105263157894736,0.0
