,Fp1,Fz,P3,P8,TP10,AF7,PO8,AF8
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.43300248138957814,0.0,0.43548387096774194,0.1315136476426799
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO8,0.0,0.0,0.0,0.0,0.4053117782909931,0.0,0.4722863741339492,0.12240184757505773
AF8,0.0,0.0,0.0,0.0,0.334384858044164,0.0,0.334384858044164,0.3312302839116719
