,Fz,T7,P7,FC2,F5,P1,FC4,FCz
Fz,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.2727272727272727,0.0
T7,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.0,0.0,0.0,0.3076923076923077,0.0
P7,0.07692307692307693,0.11538461538461539,0.46153846153846156,0.0,0.0,0.0,0.34615384615384615,0.0
FC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FC4,0.09090909090909091,0.13636363636363635,0.4090909090909091,0.0,0.0,0.0,0.36363636363636365,0.0
FCz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
