,FT9,TP9,Cz,FT10,Fp2,AF7,AF8,FCz
FT9,0.5236363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.4763636363636364
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCz,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
