,Fp1,P3,Fp2,AF7,CP3,P1,P5,PO3
Fp1,0.5567632850241546,0.0,0.44323671497584544,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.43608124253285546,0.0,0.5017921146953405,0.06212664277180406,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.11261261261261261,0.8873873873873874,0.0,0.0,0.0,0.0
CP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
