,caudalmiddlefrontal-lh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,superiortemporal-rh
caudalmiddlefrontal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parsopercularis-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parstriangularis-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
postcentral-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
precentral-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
precentral-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
rostralmiddlefrontal-lh,0.11274509803921569,0.11029411764705882,0.11274509803921569,0.11274509803921569,0.11274509803921569,0.11274509803921569,0.18137254901960784,0.14460784313725492
superiortemporal-rh,0.11764705882352941,0.11508951406649616,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.1483375959079284,0.1483375959079284
