,caudalanteriorcingulate-rh,entorhinal-lh,frontalpole-lh,frontalpole-rh,isthmuscingulate-rh,lateralorbitofrontal-rh,rostralanteriorcingulate-rh,transversetemporal-lh
caudalanteriorcingulate-rh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entorhinal-lh,0.0,0.22857142857142856,0.17142857142857143,0.17142857142857143,0.11428571428571428,0.0,0.17142857142857143,0.14285714285714285
frontalpole-lh,0.0,0.1,0.26,0.26,0.0,0.0,0.28,0.1
frontalpole-rh,0.0,0.1,0.26,0.26,0.0,0.0,0.28,0.1
isthmuscingulate-rh,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0
lateralorbitofrontal-rh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
rostralanteriorcingulate-rh,0.0,0.09803921568627451,0.2549019607843137,0.2549019607843137,0.0,0.0,0.29411764705882354,0.09803921568627451
transversetemporal-lh,0.0,0.14705882352941177,0.17647058823529413,0.17647058823529413,0.0,0.0,0.17647058823529413,0.3235294117647059
