,Fz,P3,Fp2,AF7,PO3,POz,PO4,PO8
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.6124031007751938,0.3875968992248062,0.0,0.0,0.0
PO3,0.0,0.0,0.0,0.23529411764705882,0.5392156862745098,0.0,0.22549019607843138,0.0
POz,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PO4,0.0,0.0,0.0,0.0,0.22564102564102564,0.0,0.7743589743589744,0.0
PO8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
