,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP1,0.0,0.0,0.0,0.0,0.06582278481012659,0.0,0.0,0.0,0.0,0.0,0.08607594936708861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07088607594936709,0.0,0.0,0.0,0.04683544303797468,0.0,0.0,0.0,0.08734177215189873,0.0810126582278481,0.0,0.08734177215189873,0.0,0.08734177215189873,0.0,0.0,0.0,0.0,0.08734177215189873,0.0,0.0,0.0,0.0810126582278481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07215189873417721,0.0,0.0,0.07341772151898734,0.0,0.0,0.0,0.0,0.07341772151898734
Pz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.001483679525222552,0.0,0.034866468842729974,0.0,0.0,0.008902077151335312,0.0,0.004451038575667656,0.0,0.0,0.0,0.08902077151335312,0.08086053412462908,0.06973293768545995,0.0,0.05934718100890208,0.0,0.0,0.0,0.008902077151335312,0.0,0.0,0.0,0.01112759643916914,0.0,0.0,0.0,0.08086053412462908,0.0,0.0,0.005934718100890208,0.0,0.05489614243323442,0.0,0.05637982195845697,0.050445103857566766,0.05489614243323442,0.0,0.0,0.0,0.06602373887240356,0.0,0.0,0.057863501483679525,0.0,0.04673590504451038,0.0,0.0,0.07270029673590504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045252225519287835,0.039317507418397624,0.0
P7,0.0,0.0014760147601476014,0.0,0.03468634686346864,0.0,0.0,0.008856088560885609,0.0,0.004428044280442804,0.0,0.0,0.0,0.08265682656826569,0.08191881918819188,0.07084870848708487,0.0,0.05904059040590406,0.0,0.0,0.0,0.008856088560885609,0.0,0.0,0.0,0.01107011070110701,0.0,0.0,0.0,0.08191881918819188,0.0,0.0,0.005904059040590406,0.0,0.05461254612546126,0.0,0.057564575645756455,0.05018450184501845,0.05608856088560885,0.0,0.0,0.0,0.06568265682656826,0.0,0.0,0.05830258302583026,0.0,0.04649446494464945,0.0,0.0,0.07380073800738007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045018450184501846,0.04059040590405904,0.0
O1,0.0,0.0014194464158978,0.0,0.0333569907735983,0.0,0.0,0.008516678495386799,0.0,0.0042583392476933995,0.0,0.0,0.0,0.0688431511710433,0.07026259758694109,0.08374733853797019,0.0,0.05677785663591199,0.0,0.0,0.0,0.008516678495386799,0.0,0.0,0.0,0.0106458481192335,0.0,0.0,0.0,0.0858765081618169,0.0,0.0,0.0056777856635912,0.0,0.0525195173882186,0.0,0.058907026259758695,0.0482611781405252,0.07026259758694109,0.0,0.0,0.0,0.0631653655074521,0.0,0.0,0.056068133427963095,0.0,0.044712562100780694,0.0,0.0,0.085166784953868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043293115684882894,0.0397444996451384,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.0017050298380221654,0.0,0.0392156862745098,0.0,0.0,0.010230179028132993,0.0,0.005115089514066497,0.0,0.0,0.0,0.06905370843989769,0.06905370843989769,0.06905370843989769,0.0,0.06734867860187553,0.0,0.0,0.0,0.010230179028132993,0.0,0.0,0.0,0.011935208866155157,0.0,0.0,0.0,0.06905370843989769,0.0,0.0,0.0068201193520886615,0.0,0.061381074168797956,0.0,0.058823529411764705,0.05285592497868713,0.05711849957374254,0.0,0.0,0.0,0.06905370843989769,0.0,0.0,0.060528559249786874,0.0,0.05285592497868713,0.0,0.0,0.06905370843989769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05029838022165388,0.0392156862745098,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
