,frontalpole-rh,isthmuscingulate-rh,lateralorbitofrontal-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,parsorbitalis-rh,rostralanteriorcingulate-lh,temporalpole-lh
frontalpole-rh,0.44871794871794873,0.0,0.21794871794871795,0.00641025641025641,0.19230769230769232,0.11538461538461539,0.0,0.019230769230769232
isthmuscingulate-rh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-rh,0.20833333333333334,0.0,0.375,0.005952380952380952,0.20238095238095238,0.17857142857142858,0.0,0.02976190476190476
medialorbitofrontal-lh,0.0,0.0,0.0,0.6027397260273972,0.0,0.0,0.3972602739726027,0.0
medialorbitofrontal-rh,0.21333333333333335,0.0,0.24666666666666667,0.0,0.3,0.18,0.0,0.06
parsorbitalis-rh,0.1317365269461078,0.0,0.20359281437125748,0.0,0.16167664670658682,0.3712574850299401,0.0,0.1317365269461078
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.30120481927710846,0.012048192771084338,0.0,0.6265060240963856,0.060240963855421686
temporalpole-lh,0.040983606557377046,0.0,0.05737704918032787,0.0,0.09016393442622951,0.1885245901639344,0.01639344262295082,0.6065573770491803
