,frontalpole-lh,frontalpole-rh,isthmuscingulate-rh,lateraloccipital-lh,medialorbitofrontal-lh,medialorbitofrontal-rh,parahippocampal-rh,pericalcarine-lh
frontalpole-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-rh,0.0,0.5588235294117647,0.0,0.0,0.0,0.4411764705882353,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.7682926829268293,0.0,0.0,0.0,0.0,0.23170731707317074
lateraloccipital-lh,0.0,0.0,0.0,0.7804878048780488,0.0,0.0,0.012195121951219513,0.2073170731707317
medialorbitofrontal-lh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
medialorbitofrontal-rh,0.0,0.4,0.0,0.0,0.0,0.6,0.0,0.0
parahippocampal-rh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pericalcarine-lh,0.0,0.0,0.2125,0.2625,0.0,0.0,0.0,0.525
