,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,parstriangularis-rh,rostralmiddlefrontal-rh,superiorfrontal-rh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh
caudalmiddlefrontal-lh,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385
caudalmiddlefrontal-rh,0.03225806451612903,0.1935483870967742,0.22580645161290322,0.22580645161290322,0.12903225806451613,0.0967741935483871,0.0,0.0967741935483871
parstriangularis-rh,0.02564102564102564,0.15384615384615385,0.3076923076923077,0.2564102564102564,0.10256410256410256,0.07692307692307693,0.0,0.07692307692307693
rostralmiddlefrontal-rh,0.02631578947368421,0.15789473684210525,0.2894736842105263,0.2631578947368421,0.10526315789473684,0.07894736842105263,0.0,0.07894736842105263
superiorfrontal-rh,0.038461538461538464,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.15384615384615385,0.11538461538461539,0.0,0.11538461538461539
superiorparietal-rh,0.043478260869565216,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.13043478260869565,0.0,0.13043478260869565
superiortemporal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiortemporal-rh,0.043478260869565216,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.13043478260869565,0.0,0.13043478260869565
