,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.05966386554621849,0.0,0.06134453781512605,0.06134453781512605,0.0,0.030252100840336135,0.0,0.0,0.0,0.0,0.023529411764705882,0.0,0.01680672268907563,0.0,0.018487394957983194,0.0,0.0,0.0,0.05714285714285714,0.05714285714285714,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.031932773109243695,0.041176470588235294,0.009243697478991597,0.041176470588235294,0.0,0.0,0.06050420168067227,0.02100840336134454,0.05966386554621849,0.0,0.0,0.0,0.023529411764705882,0.0,0.0,0.0226890756302521,0.0,0.0,0.023529411764705882,0.0,0.0,0.0,0.0,0.0546218487394958,0.0,0.052100840336134456,0.0,0.0,0.05546218487394958,0.0,0.0,0.05966386554621849,0.029411764705882353,0.0
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.05950413223140496,0.0,0.0628099173553719,0.0628099173553719,0.0,0.02975206611570248,0.0,0.0,0.0,0.0,0.023140495867768594,0.0,0.01652892561983471,0.0,0.01818181818181818,0.0,0.0,0.0,0.05702479338842975,0.05702479338842975,0.0,0.0,0.02809917355371901,0.0,0.0,0.0,0.0,0.03140495867768595,0.04049586776859504,0.00909090909090909,0.04049586776859504,0.0,0.0,0.06363636363636363,0.02066115702479339,0.06198347107438017,0.0,0.0,0.0,0.023140495867768594,0.0,0.0,0.02231404958677686,0.0,0.0,0.023140495867768594,0.0,0.0,0.0,0.0,0.05371900826446281,0.0,0.0512396694214876,0.0,0.0,0.05454545454545454,0.0,0.0,0.0603305785123967,0.028925619834710745,0.0
FT9,0.05930807248764415,0.0,0.06342668863261944,0.06342668863261944,0.0,0.029654036243822075,0.0,0.0,0.0,0.0,0.023064250411861616,0.0,0.016474464579901153,0.0,0.018121911037891267,0.0,0.0,0.0,0.057660626029654036,0.057660626029654036,0.0,0.0,0.02800658978583196,0.0,0.0,0.0,0.0,0.03130148270181219,0.04036243822075782,0.009060955518945634,0.04036243822075782,0.0,0.0,0.06342668863261944,0.02059308072487644,0.06177924217462932,0.0,0.0,0.0,0.023064250411861616,0.0,0.0,0.022240527182866558,0.0,0.0,0.023064250411861616,0.0,0.0,0.0,0.0,0.05354200988467875,0.0,0.051070840197693576,0.0,0.0,0.054365733113673806,0.0,0.0,0.06013179571663921,0.028830313014827018,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.045859872611464965,0.0,0.045859872611464965,0.045859872611464965,0.0,0.044585987261146494,0.0,0.0,0.0,0.0,0.035668789808917196,0.0,0.025477707006369428,0.0,0.02802547770700637,0.0,0.0,0.0,0.045859872611464965,0.045859872611464965,0.0,0.0,0.04076433121019108,0.0,0.0,0.0,0.0,0.04331210191082802,0.045859872611464965,0.014012738853503185,0.045859872611464965,0.0,0.0,0.045859872611464965,0.03184713375796178,0.045859872611464965,0.0,0.0,0.0,0.035668789808917196,0.0,0.0,0.02802547770700637,0.0,0.0,0.034394904458598725,0.0,0.0,0.0,0.0,0.045859872611464965,0.0,0.045859872611464965,0.0,0.0,0.045859872611464965,0.0,0.0,0.045859872611464965,0.04203821656050955,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07589285714285714,0.08035714285714286,0.0,0.0,0.0,0.08035714285714286,0.0,0.0,0.0,0.05357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.08035714285714286,0.08035714285714286,0.08035714285714286,0.0,0.0,0.0,0.0,0.08035714285714286,0.08035714285714286,0.0,0.0,0.0,0.08035714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08035714285714286,0.0,0.0,0.0,0.08035714285714286,0.0,0.0,0.06696428571428571
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05278592375366569,0.08211143695014662,0.0,0.0,0.0,0.08504398826979472,0.0,0.0,0.0,0.05865102639296188,0.0,0.0,0.0,0.0,0.0,0.0,0.08504398826979472,0.08504398826979472,0.06744868035190615,0.0,0.0,0.0,0.0,0.08504398826979472,0.08504398826979472,0.0,0.0,0.0,0.08504398826979472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07038123167155426,0.0,0.0,0.0,0.08504398826979472,0.0,0.0,0.07331378299120235
CP1,0.0438871473354232,0.0,0.0438871473354232,0.0438871473354232,0.0,0.0438871473354232,0.0,0.0,0.0,0.0,0.04231974921630094,0.0,0.025078369905956112,0.0,0.034482758620689655,0.0,0.0,0.0,0.0438871473354232,0.0438871473354232,0.0,0.0,0.04231974921630094,0.0,0.0,0.0,0.0,0.0438871473354232,0.0438871473354232,0.017241379310344827,0.0438871473354232,0.0,0.0,0.0438871473354232,0.03918495297805643,0.0438871473354232,0.0,0.0,0.0,0.03605015673981191,0.0,0.0,0.02664576802507837,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0438871473354232,0.0,0.0438871473354232,0.0,0.0,0.0438871473354232,0.0,0.0,0.0438871473354232,0.0438871473354232,0.0
Pz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.042105263157894736,0.0,0.042105263157894736,0.042105263157894736,0.0,0.042105263157894736,0.0,0.0,0.0,0.0,0.037894736842105266,0.0,0.04,0.0,0.029473684210526315,0.0,0.0,0.0,0.042105263157894736,0.042105263157894736,0.0,0.0,0.042105263157894736,0.0,0.0,0.0,0.0,0.042105263157894736,0.042105263157894736,0.016842105263157894,0.042105263157894736,0.0,0.0,0.042105263157894736,0.03368421052631579,0.042105263157894736,0.0,0.0,0.0,0.042105263157894736,0.0,0.0,0.042105263157894736,0.0,0.0,0.042105263157894736,0.0,0.0,0.0,0.0,0.042105263157894736,0.0,0.042105263157894736,0.0,0.0,0.042105263157894736,0.0,0.0,0.042105263157894736,0.042105263157894736,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04466501240694789,0.07196029776674938,0.0,0.0,0.0,0.09181141439205956,0.0,0.0,0.0,0.04962779156327544,0.0,0.0,0.0,0.0,0.0,0.0,0.09429280397022333,0.08436724565756824,0.05707196029776675,0.0,0.0,0.0,0.0,0.09429280397022333,0.09181141439205956,0.0,0.0,0.0,0.09429280397022333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06947890818858561,0.0,0.0,0.0,0.09429280397022333,0.0,0.0,0.062034739454094295
O1,0.04296875,0.0,0.04296875,0.04296875,0.0,0.04296875,0.0,0.0,0.0,0.0,0.04296875,0.0,0.0234375,0.0,0.041015625,0.0,0.0,0.0,0.04296875,0.04296875,0.0,0.0,0.04296875,0.0,0.0,0.0,0.0,0.04296875,0.04296875,0.021484375,0.04296875,0.0,0.0,0.04296875,0.04296875,0.04296875,0.0,0.0,0.0,0.037109375,0.0,0.0,0.025390625,0.0,0.0,0.03515625,0.0,0.0,0.0,0.0,0.04296875,0.0,0.04296875,0.0,0.0,0.04296875,0.0,0.0,0.04296875,0.04296875,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05622489959839357,0.08032128514056225,0.0,0.0,0.0,0.08032128514056225,0.0,0.0,0.0,0.07630522088353414,0.0,0.0,0.0,0.0,0.0,0.0,0.08032128514056225,0.08032128514056225,0.07228915662650602,0.0,0.0,0.0,0.0,0.08032128514056225,0.08032128514056225,0.0,0.0,0.0,0.08032128514056225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07228915662650602,0.0,0.0,0.0,0.08032128514056225,0.0,0.0,0.08032128514056225
P8,0.06035205364626991,0.0,0.06119027661357921,0.06202849958088852,0.0,0.030176026823134954,0.0,0.0,0.0,0.0,0.02347024308466052,0.0,0.016764459346186086,0.0,0.018440905280804692,0.0,0.0,0.0,0.06035205364626991,0.05951383067896061,0.0,0.0,0.028499580888516344,0.0,0.0,0.0,0.0,0.03185247275775356,0.04107292539815591,0.009220452640402346,0.04107292539815591,0.0,0.0,0.0586756077116513,0.020955574182732608,0.05699916177703269,0.0,0.0,0.0,0.02347024308466052,0.0,0.0,0.02347024308466052,0.0,0.0,0.02347024308466052,0.0,0.0,0.0,0.0,0.054484492875104776,0.0,0.051969823973176864,0.0,0.0,0.056160938809723386,0.0,0.0,0.05699916177703269,0.02933780385582565,0.0
TP10,0.06016949152542373,0.0,0.06016949152542373,0.06016949152542373,0.0,0.030508474576271188,0.0,0.0,0.0,0.0,0.023728813559322035,0.0,0.01694915254237288,0.0,0.01864406779661017,0.0,0.0,0.0,0.05847457627118644,0.05847457627118644,0.0,0.0,0.0288135593220339,0.0,0.0,0.0,0.0,0.03220338983050847,0.04152542372881356,0.009322033898305085,0.04152542372881356,0.0,0.0,0.059322033898305086,0.0211864406779661,0.0576271186440678,0.0,0.0,0.0,0.023728813559322035,0.0,0.0,0.02288135593220339,0.0,0.0,0.023728813559322035,0.0,0.0,0.0,0.0,0.05508474576271186,0.0,0.05254237288135593,0.0,0.0,0.05593220338983051,0.0,0.0,0.0576271186440678,0.029661016949152543,0.0
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
