,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorparietal-lh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh
parsopercularis-lh,0.5841584158415841,0.0297029702970297,0.0,0.0,0.0,0.0,0.3069306930693069,0.07920792079207921
parstriangularis-rh,0.015873015873015872,0.5079365079365079,0.0,0.47619047619047616,0.0,0.0,0.0,0.0
rostralmiddlefrontal-lh,0.0,0.0,0.5,0.02,0.0,0.48,0.0,0.0
rostralmiddlefrontal-rh,0.0,0.45901639344262296,0.01639344262295082,0.5245901639344263,0.0,0.0,0.0,0.0
superiorparietal-lh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
superiortemporal-lh,0.0,0.0,0.390625,0.0,0.0,0.609375,0.0,0.0
superiortemporal-rh,0.44285714285714284,0.0,0.0,0.0,0.0,0.0,0.5571428571428572,0.0
supramarginal-lh,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.7714285714285715
