,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP1,0.0,0.0,0.0,0.0,0.06301369863013699,0.06301369863013699,0.06301369863013699,0.0,0.0,0.0,0.06164383561643835,0.06301369863013699,0.0,0.021917808219178082,0.0,0.0,0.0,0.0,0.06301369863013699,0.038356164383561646,0.06301369863013699,0.0,0.0,0.057534246575342465,0.031506849315068496,0.0,0.0273972602739726,0.0,0.0,0.0,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06301369863013699,0.0,0.0,0.0589041095890411,0.0,0.0,0.0,0.0,0.04794520547945205,0.0,0.0,0.0,0.0,0.0,0.0,0.06301369863013699,0.0,0.06027397260273973,0.0,0.0,0.06301369863013699,0.0,0.0
Pz,0.0,0.0,0.0,0.0,0.07311320754716981,0.07193396226415094,0.07311320754716981,0.0,0.0,0.0,0.054245283018867926,0.07311320754716981,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.07075471698113207,0.0330188679245283,0.06367924528301887,0.0,0.0,0.049528301886792456,0.027122641509433963,0.0,0.02358490566037736,0.0,0.0,0.0,0.02358490566037736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05778301886792453,0.0,0.0,0.05188679245283019,0.0,0.0,0.0,0.0,0.041273584905660375,0.0,0.0,0.0,0.0,0.0,0.0,0.07429245283018868,0.0,0.05306603773584906,0.0,0.0,0.0660377358490566,0.0,0.0
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.053156146179401995,0.053156146179401995,0.053156146179401995,0.0,0.0,0.0,0.053156146179401995,0.053156146179401995,0.0,0.04983388704318937,0.0,0.0,0.0,0.0,0.053156146179401995,0.053156146179401995,0.053156146179401995,0.0,0.0,0.053156146179401995,0.053156146179401995,0.0,0.053156146179401995,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053156146179401995,0.0,0.0,0.053156146179401995,0.0,0.0,0.0,0.0,0.053156146179401995,0.0,0.0,0.0,0.0,0.0,0.0,0.053156146179401995,0.0,0.053156146179401995,0.0,0.0,0.053156146179401995,0.0,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.07194244604316546,0.06954436450839328,0.07194244604316546,0.0,0.0,0.0,0.05515587529976019,0.07074340527577938,0.0,0.019184652278177457,0.0,0.0,0.0,0.0,0.07074340527577938,0.03357314148681055,0.06474820143884892,0.0,0.0,0.050359712230215826,0.027577937649880094,0.0,0.023980815347721823,0.0,0.0,0.0,0.023980815347721823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05875299760191847,0.0,0.0,0.05275779376498801,0.0,0.0,0.0,0.0,0.04196642685851319,0.0,0.0,0.0,0.0,0.0,0.0,0.07194244604316546,0.0,0.0539568345323741,0.0,0.0,0.0671462829736211,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.056451612903225805,0.056451612903225805,0.056451612903225805,0.0,0.0,0.0,0.056451612903225805,0.056451612903225805,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.056451612903225805,0.05443548387096774,0.056451612903225805,0.0,0.0,0.056451612903225805,0.04435483870967742,0.0,0.04032258064516129,0.0,0.0,0.0,0.04032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056451612903225805,0.0,0.0,0.056451612903225805,0.0,0.0,0.0,0.0,0.05443548387096774,0.0,0.0,0.0,0.0,0.0,0.0,0.056451612903225805,0.0,0.056451612903225805,0.0,0.0,0.056451612903225805,0.0,0.0
