,Fz,P8,TP10,F8,AF7,PO8,P6,TP8
Fz,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2
P8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO8,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2
P6,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2
TP8,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2
