,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,entorhinal-lh,parsorbitalis-rh,pericalcarine-lh,posteriorcingulate-lh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
caudalanteriorcingulate-lh,0.2727272727272727,0.15151515151515152,0.15151515151515152,0.0,0.0,0.15151515151515152,0.15151515151515152,0.12121212121212122
caudalanteriorcingulate-rh,0.1836734693877551,0.20408163265306123,0.0,0.0,0.0,0.22448979591836735,0.22448979591836735,0.16326530612244897
entorhinal-lh,0.38461538461538464,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0
parsorbitalis-rh,0.0,0.0,0.0,0.7333333333333333,0.26666666666666666,0.0,0.0,0.0
pericalcarine-lh,0.0,0.0,0.0,0.3125,0.6875,0.0,0.0,0.0
posteriorcingulate-lh,0.18,0.2,0.0,0.0,0.0,0.24,0.22,0.16
rostralanteriorcingulate-lh,0.18,0.2,0.0,0.0,0.0,0.24,0.22,0.16
rostralanteriorcingulate-rh,0.16981132075471697,0.16981132075471697,0.0,0.0,0.0,0.16981132075471697,0.16981132075471697,0.32075471698113206
