,FC5,T7,Cz,F8,AF7,FT7,FT8,AF8
FC5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.8201058201058201,0.17989417989417988,0.0,0.0,0.0,0.0,0.0
Cz,0.0,0.0446927374301676,0.9553072625698324,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
