,FC5,T7,Cz,F8,AF7,FT7,FT8,AF8
FC5,0.8081632653061225,0.0,0.0,0.0,0.00816326530612245,0.0,0.1836734693877551,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cz,0.0,0.0,0.59375,0.0,0.0,0.0,0.0,0.40625
F8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AF7,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0
FT7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FT8,0.12661870503597122,0.0,0.0,0.0,0.0,0.0,0.8733812949640288,0.0
AF8,0.0,0.0,0.388646288209607,0.0,0.0,0.0,0.0,0.611353711790393
