,F7,FT9,FC6,FT7,FC3,POz,FT8,AF8
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.5620915032679739,0.0,0.0,0.0,0.0,0.43790849673202614,0.0
FC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT8,0.0,0.43870967741935485,0.0,0.0,0.0,0.0,0.5612903225806452,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
