,cuneus-lh,cuneus-rh,frontalpole-lh,frontalpole-rh,isthmuscingulate-rh,lateraloccipital-rh,pericalcarine-rh,temporalpole-lh
cuneus-lh,0.8985507246376812,0.0,0.07246376811594203,0.0,0.0,0.0,0.028985507246376812,0.0
cuneus-rh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-lh,0.04697986577181208,0.0,0.5771812080536913,0.37583892617449666,0.0,0.0,0.0,0.0
frontalpole-rh,0.0136986301369863,0.0,0.4246575342465753,0.5616438356164384,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.0,0.0,0.384,0.32,0.296,0.0
lateraloccipital-rh,0.0,0.0,0.0,0.0,0.2714285714285714,0.44285714285714284,0.2857142857142857,0.0
pericalcarine-rh,0.015151515151515152,0.0,0.0,0.0,0.29545454545454547,0.3333333333333333,0.3560606060606061,0.0
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
