,entorhinal-lh,lateraloccipital-lh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,middletemporal-lh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,temporalpole-lh
entorhinal-lh,0.391304347826087,0.0,0.08695652173913043,0.08695652173913043,0.15217391304347827,0.08695652173913043,0.08695652173913043,0.10869565217391304
lateraloccipital-lh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-lh,0.05555555555555555,0.0,0.2037037037037037,0.2222222222222222,0.09259259259259259,0.2222222222222222,0.2037037037037037,0.0
lateralorbitofrontal-rh,0.05263157894736842,0.0,0.19298245614035087,0.2631578947368421,0.08771929824561403,0.21052631578947367,0.19298245614035087,0.0
middletemporal-lh,0.16,0.0,0.12,0.12,0.36,0.12,0.12,0.0
rostralanteriorcingulate-lh,0.05454545454545454,0.0,0.2,0.23636363636363636,0.09090909090909091,0.21818181818181817,0.2,0.0
rostralanteriorcingulate-rh,0.05555555555555555,0.0,0.2037037037037037,0.2222222222222222,0.09259259259259259,0.2222222222222222,0.2037037037037037,0.0
temporalpole-lh,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.8235294117647058
