,entorhinal-lh,lateralorbitofrontal-lh,parstriangularis-lh,pericalcarine-rh,posteriorcingulate-lh,posteriorcingulate-rh,rostralanteriorcingulate-rh,transversetemporal-lh
entorhinal-lh,0.8181818181818182,0.025974025974025976,0.0,0.0,0.0,0.0,0.15584415584415584,0.0
lateralorbitofrontal-lh,0.0,0.971830985915493,0.014084507042253521,0.0,0.0,0.0,0.0,0.014084507042253521
parstriangularis-lh,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.38461538461538464
pericalcarine-rh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
posteriorcingulate-lh,0.0,0.0,0.0,0.0,0.7090909090909091,0.045454545454545456,0.24545454545454545,0.0
posteriorcingulate-rh,0.0,0.0,0.0,0.0,0.031914893617021274,0.9680851063829787,0.0,0.0
rostralanteriorcingulate-rh,0.11009174311926606,0.0,0.0,0.0,0.23853211009174313,0.0,0.6513761467889908,0.0
transversetemporal-lh,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.55
