,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,postcentral-lh,postcentral-rh,superiorfrontal-rh,superiorparietal-lh,superiortemporal-rh
caudalmiddlefrontal-lh,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
caudalmiddlefrontal-rh,0.0,0.125,0.125,0.125,0.25,0.0,0.25,0.125
inferiorparietal-rh,0.0,0.125,0.125,0.125,0.25,0.0,0.25,0.125
postcentral-lh,0.0,0.125,0.125,0.125,0.25,0.0,0.25,0.125
postcentral-rh,0.0,0.125,0.125,0.125,0.25,0.0,0.25,0.125
superiorfrontal-rh,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
superiorparietal-lh,0.0,0.125,0.125,0.125,0.25,0.0,0.25,0.125
superiortemporal-rh,0.0,0.125,0.125,0.125,0.25,0.0,0.25,0.125
