,bankssts-lh,caudalanteriorcingulate-lh,cuneus-lh,insula-lh,isthmuscingulate-rh,lateralorbitofrontal-lh,medialorbitofrontal-rh,rostralanteriorcingulate-rh
bankssts-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
caudalanteriorcingulate-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
cuneus-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
insula-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isthmuscingulate-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
lateralorbitofrontal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
medialorbitofrontal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
rostralanteriorcingulate-rh,0.1206896551724138,0.1206896551724138,0.1206896551724138,0.13793103448275862,0.1206896551724138,0.1206896551724138,0.1206896551724138,0.13793103448275862
