,F7,P8,CP6,FC6,AF7,FT7,FT8,AF8
F7,0.5570175438596491,0.0,0.0,0.0,0.44298245614035087,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.4057377049180328,0.0,0.0,0.0,0.5942622950819673,0.0,0.0,0.0
FT7,0.0,0.0,0.0,0.0,0.0,0.5108225108225108,0.0,0.48917748917748916
FT8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.22072936660268713,0.0,0.7792706333973128
