,frontalpole-lh,frontalpole-rh,insula-rh,lateralorbitofrontal-rh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,transversetemporal-rh
frontalpole-lh,0.13663366336633664,0.10891089108910891,0.1306930693069307,0.1306930693069307,0.10891089108910891,0.12079207920792079,0.1306930693069307,0.13267326732673268
frontalpole-rh,0.11264367816091954,0.1632183908045977,0.1103448275862069,0.135632183908046,0.08045977011494253,0.1425287356321839,0.13793103448275862,0.11724137931034483
insula-rh,0.13385826771653545,0.1062992125984252,0.13582677165354332,0.1279527559055118,0.11023622047244094,0.11811023622047244,0.1279527559055118,0.13976377952755906
lateralorbitofrontal-rh,0.12,0.128,0.118,0.14,0.092,0.138,0.14,0.124
parahippocampal-rh,0.1383219954648526,0.09297052154195011,0.14058956916099774,0.11791383219954649,0.15419501133786848,0.10657596371882086,0.11791383219954649,0.13151927437641722
rostralanteriorcingulate-lh,0.11627906976744186,0.1416490486257928,0.11416490486257928,0.13742071881606766,0.08668076109936575,0.14376321353065538,0.13953488372093023,0.12050739957716702
rostralanteriorcingulate-rh,0.11952191235059761,0.13147410358565736,0.11752988047808766,0.13545816733067728,0.09163346613545817,0.1394422310756972,0.14143426294820718,0.12350597609561753
transversetemporal-rh,0.1306930693069307,0.11287128712871287,0.12871287128712872,0.13465346534653466,0.10297029702970296,0.12475247524752475,0.1306930693069307,0.13465346534653466
