,caudalanteriorcingulate-lh,frontalpole-rh,paracentral-lh,parahippocampal-rh,parstriangularis-lh,rostralanteriorcingulate-rh,temporalpole-lh,temporalpole-rh
caudalanteriorcingulate-lh,0.7731958762886598,0.2268041237113402,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-rh,0.14814814814814814,0.6222222222222222,0.0,0.22962962962962963,0.0,0.0,0.0,0.0
paracentral-lh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
parahippocampal-rh,0.0,0.28846153846153844,0.019230769230769232,0.6346153846153846,0.0,0.057692307692307696,0.0,0.0
parstriangularis-lh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
rostralanteriorcingulate-rh,0.0,0.0,0.0,0.1,0.0,0.85,0.05,0.0
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.05970149253731343,0.9402985074626866,0.0
temporalpole-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
