,caudalmiddlefrontal-lh,inferiorparietal-rh,parsopercularis-lh,postcentral-lh,superiorparietal-lh,superiortemporal-lh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.4634146341463415,0.0,0.07317073170731707,0.24390243902439024,0.12195121951219512,0.0,0.0,0.0975609756097561
inferiorparietal-rh,0.0,0.7272727272727273,0.0,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091
parsopercularis-lh,0.046511627906976744,0.0,0.5581395348837209,0.0,0.0,0.0,0.0,0.3953488372093023
postcentral-lh,0.4230769230769231,0.0,0.0,0.38461538461538464,0.19230769230769232,0.0,0.0,0.0
superiorparietal-lh,0.25,0.125,0.0,0.25,0.375,0.0,0.0,0.0
superiortemporal-lh,0.0,0.05555555555555555,0.0,0.0,0.0,0.9444444444444444,0.0,0.0
supramarginal-lh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
supramarginal-rh,0.043478260869565216,0.021739130434782608,0.41304347826086957,0.0,0.0,0.0,0.0,0.5217391304347826
