,frontalpole-lh,frontalpole-rh,inferiortemporal-rh,isthmuscingulate-rh,parahippocampal-rh,parstriangularis-lh,rostralanteriorcingulate-lh,temporalpole-lh
frontalpole-lh,0.5268817204301075,0.0,0.1827956989247312,0.0,0.15053763440860216,0.0,0.13978494623655913,0.0
frontalpole-rh,0.0,0.8045977011494253,0.05747126436781609,0.0,0.13793103448275862,0.0,0.0,0.0
inferiortemporal-rh,0.16521739130434782,0.043478260869565216,0.4260869565217391,0.0,0.3652173913043478,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
parahippocampal-rh,0.11940298507462686,0.1044776119402985,0.3283582089552239,0.0,0.44776119402985076,0.0,0.0,0.0
parstriangularis-lh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
rostralanteriorcingulate-lh,0.09565217391304348,0.0,0.0,0.0,0.0,0.0,0.6,0.30434782608695654
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.3069306930693069,0.693069306930693
