,frontalpole-lh,frontalpole-rh,isthmuscingulate-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,parahippocampal-rh,pericalcarine-rh,rostralanteriorcingulate-lh
frontalpole-lh,0.48,0.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.2866666666666667
frontalpole-rh,0.0,0.8939393939393939,0.10606060606060606,0.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.064,0.772,0.0,0.0,0.164,0.0,0.0
medialorbitofrontal-lh,0.1761904761904762,0.0,0.0,0.38571428571428573,0.11666666666666667,0.0,0.0,0.32142857142857145
medialorbitofrontal-rh,0.0,0.0,0.0,0.1821705426356589,0.6201550387596899,0.0,0.0,0.19767441860465115
parahippocampal-rh,0.0,0.0,0.13157894736842105,0.0,0.0,0.7397660818713451,0.1286549707602339,0.0
pericalcarine-rh,0.0,0.0,0.0,0.0,0.0,0.21551724137931033,0.7844827586206896,0.0
rostralanteriorcingulate-lh,0.18025751072961374,0.0,0.0,0.2854077253218884,0.11373390557939914,0.0,0.0,0.4206008583690987
