,entorhinal-lh,fusiform-rh,medialorbitofrontal-lh,parahippocampal-rh,parsorbitalis-rh,rostralanteriorcingulate-lh,temporalpole-lh,temporalpole-rh
entorhinal-lh,0.5172413793103449,0.0,0.41379310344827586,0.0,0.06896551724137931,0.0,0.0,0.0
fusiform-rh,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
medialorbitofrontal-lh,0.41379310344827586,0.0,0.5862068965517241,0.0,0.0,0.0,0.0,0.0
parahippocampal-rh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
parsorbitalis-rh,0.2222222222222222,0.0,0.1111111111111111,0.0,0.6666666666666666,0.0,0.0,0.0
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.8235294117647058,0.0
temporalpole-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
