,caudalmiddlefrontal-lh,inferiorparietal-rh,precentral-rh,rostralmiddlefrontal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.9722222222222222,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0
inferiorparietal-rh,0.0,0.48,0.02,0.06,0.0,0.26,0.0,0.18
precentral-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rostralmiddlefrontal-rh,0.0,0.041666666666666664,0.0,0.25,0.22916666666666666,0.0,0.22916666666666666,0.25
superiortemporal-lh,0.0,0.0,0.0,0.19298245614035087,0.30701754385964913,0.0,0.2719298245614035,0.22807017543859648
superiortemporal-rh,0.0,0.34285714285714286,0.0,0.0,0.0,0.6571428571428571,0.0,0.0
supramarginal-lh,0.0,0.0,0.0,0.1896551724137931,0.25,0.0,0.3017241379310345,0.25862068965517243
supramarginal-rh,0.0,0.064,0.0,0.168,0.192,0.0,0.24,0.336
