,frontalpole-lh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,medialorbitofrontal-rh,parsopercularis-lh,parsorbitalis-lh,rostralanteriorcingulate-rh,temporalpole-rh
frontalpole-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-lh,0.0,0.65,0.15,0.0,0.0,0.2,0.0,0.0
lateralorbitofrontal-rh,0.0,0.125,0.45,0.0,0.0,0.325,0.0,0.1
medialorbitofrontal-rh,0.0,0.0,0.0,0.41025641025641024,0.3076923076923077,0.0,0.28205128205128205,0.0
parsopercularis-lh,0.0,0.0,0.0,0.35294117647058826,0.47058823529411764,0.0,0.14705882352941177,0.029411764705882353
parsorbitalis-lh,0.0,0.16666666666666666,0.3055555555555556,0.0,0.0,0.5277777777777778,0.0,0.0
rostralanteriorcingulate-rh,0.0,0.0,0.0,0.3448275862068966,0.1724137931034483,0.0,0.4827586206896552,0.0
temporalpole-rh,0.0,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.6842105263157895
