,caudalmiddlefrontal-lh,inferiorparietal-rh,postcentral-rh,precentral-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiortemporal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.13297872340425532,0.12234042553191489,0.12234042553191489,0.12234042553191489,0.12234042553191489,0.125,0.12234042553191489,0.13031914893617022
inferiorparietal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
postcentral-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
precentral-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
rostralmiddlefrontal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
superiorfrontal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
superiortemporal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
supramarginal-rh,0.128686327077748,0.12332439678284182,0.12332439678284182,0.12332439678284182,0.12332439678284182,0.1260053619302949,0.12332439678284182,0.128686327077748
