,Fp1,TP9,P7,O1,F8,Fp2,AF8,AF4
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.5864661654135338,0.0,0.41353383458646614,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.4812680115273775,0.0,0.5187319884726225,0.0
AF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
