,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,postcentral-rh,precentral-rh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorparietal-lh,superiorparietal-rh
caudalmiddlefrontal-lh,0.6086956521739131,0.08695652173913043,0.17391304347826086,0.0,0.0,0.0,0.13043478260869565,0.0
caudalmiddlefrontal-rh,0.0,0.5483870967741935,0.0,0.22580645161290322,0.06451612903225806,0.0,0.0967741935483871,0.06451612903225806
postcentral-rh,0.18181818181818182,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0
precentral-rh,0.0,0.25,0.0,0.5,0.0,0.0,0.25,0.0
rostralmiddlefrontal-rh,0.0,0.0,0.0,0.0,0.7916666666666666,0.0,0.08333333333333333,0.125
superiorfrontal-lh,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
superiorparietal-lh,0.02857142857142857,0.08571428571428572,0.0,0.14285714285714285,0.08571428571428572,0.11428571428571428,0.42857142857142855,0.11428571428571428
superiorparietal-rh,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.7142857142857143
