,FC1,Oz,CP6,F4,AF7,CPz,AF8,AF4
FC1,0.5802469135802469,0.0,0.0,0.0,0.0,0.0,0.41975308641975306,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.4965034965034965,0.0,0.0,0.0,0.0,0.0,0.5034965034965035,0.0
AF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
