,parsopercularis-lh,parstriangularis-rh,postcentral-lh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,superiorfrontal-rh,superiorparietal-lh
parsopercularis-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parstriangularis-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
postcentral-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
precentral-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
precentral-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
rostralmiddlefrontal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
superiorfrontal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
superiorparietal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
