,entorhinal-lh,frontalpole-lh,isthmuscingulate-lh,lateralorbitofrontal-lh,paracentral-lh,parahippocampal-rh,rostralanteriorcingulate-lh,temporalpole-lh
entorhinal-lh,0.39215686274509803,0.3137254901960784,0.0784313725490196,0.0,0.0,0.0196078431372549,0.09803921568627451,0.09803921568627451
frontalpole-lh,0.3,0.36,0.16,0.0,0.0,0.08,0.04,0.06
isthmuscingulate-lh,0.1,0.2,0.5,0.0,0.03333333333333333,0.16666666666666666,0.0,0.0
lateralorbitofrontal-lh,0.0,0.0,0.0,0.6206896551724138,0.0,0.0,0.034482758620689655,0.3448275862068966
paracentral-lh,0.0,0.0,0.0,0.0,0.68,0.2,0.12,0.0
parahippocampal-rh,0.0,0.05405405405405406,0.08108108108108109,0.0,0.1891891891891892,0.4594594594594595,0.21621621621621623,0.0
rostralanteriorcingulate-lh,0.06382978723404255,0.0,0.0,0.10638297872340426,0.10638297872340426,0.19148936170212766,0.425531914893617,0.10638297872340426
temporalpole-lh,0.02857142857142857,0.02857142857142857,0.0,0.4,0.0,0.0,0.08571428571428572,0.45714285714285713
