,CP1,P8,FT10,Fp2,AF7,F5,CPz,AF8
CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.4,0.0,0.0,0.06666666666666667,0.26666666666666666,0.0,0.26666666666666666
FT10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.5,0.4166666666666667,0.0,0.08333333333333333,0.0
AF7,0.0,0.0,0.0,0.46938775510204084,0.4489795918367347,0.0,0.08163265306122448,0.0
F5,0.0,0.38461538461538464,0.0,0.0,0.0,0.3076923076923077,0.0,0.3076923076923077
CPz,0.0,0.0,0.0,0.36363636363636365,0.36363636363636365,0.0,0.2727272727272727,0.0
AF8,0.0,0.29411764705882354,0.0,0.0,0.0,0.23529411764705882,0.0,0.47058823529411764
