,frontalpole-lh,frontalpole-rh,fusiform-lh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
frontalpole-lh,0.13725490196078433,0.12745098039215685,0.12745098039215685,0.13725490196078433,0.12745098039215685,0.06862745098039216,0.13725490196078433,0.13725490196078433
frontalpole-rh,0.14,0.13,0.13,0.14,0.13,0.07,0.13,0.13
fusiform-lh,0.14423076923076922,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.0673076923076923,0.125,0.125
lateralorbitofrontal-lh,0.13402061855670103,0.12371134020618557,0.12371134020618557,0.13402061855670103,0.12371134020618557,0.07216494845360824,0.14432989690721648,0.14432989690721648
lateralorbitofrontal-rh,0.14,0.13,0.13,0.14,0.13,0.07,0.13,0.13
parahippocampal-rh,0.12727272727272726,0.12727272727272726,0.12727272727272726,0.12727272727272726,0.12727272727272726,0.10909090909090909,0.12727272727272726,0.12727272727272726
rostralanteriorcingulate-lh,0.13333333333333333,0.12222222222222222,0.12222222222222222,0.13333333333333333,0.12222222222222222,0.07777777777777778,0.14444444444444443,0.14444444444444443
rostralanteriorcingulate-rh,0.13333333333333333,0.12222222222222222,0.12222222222222222,0.13333333333333333,0.12222222222222222,0.07777777777777778,0.14444444444444443,0.14444444444444443
