,frontalpole-lh,insula-lh,medialorbitofrontal-lh,parahippocampal-lh,pericalcarine-lh,rostralmiddlefrontal-lh,supramarginal-rh,transversetemporal-rh
frontalpole-lh,0.7232142857142857,0.0,0.2767857142857143,0.0,0.0,0.0,0.0,0.0
insula-lh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
medialorbitofrontal-lh,0.3402061855670103,0.0,0.5876288659793815,0.0,0.0,0.07216494845360824,0.0,0.0
parahippocampal-lh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pericalcarine-lh,0.0,0.0,0.0,0.0,0.7567567567567568,0.0,0.0,0.24324324324324326
rostralmiddlefrontal-lh,0.0,0.0,0.10416666666666667,0.0,0.0,0.8958333333333334,0.0,0.0
supramarginal-rh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
transversetemporal-rh,0.0,0.0,0.0,0.0,0.22916666666666666,0.0,0.0,0.7708333333333334
