,frontalpole-lh,insula-rh,isthmuscingulate-rh,lateraloccipital-rh,parsorbitalis-lh,parstriangularis-rh,temporalpole-rh,transversetemporal-rh
frontalpole-lh,0.8076923076923077,0.0,0.0,0.038461538461538464,0.15384615384615385,0.0,0.0,0.0
insula-rh,0.0,0.5217391304347826,0.0,0.0,0.0,0.0,0.2608695652173913,0.21739130434782608
isthmuscingulate-rh,0.0,0.0,0.5806451612903226,0.41935483870967744,0.0,0.0,0.0,0.0
lateraloccipital-rh,0.08108108108108109,0.0,0.3783783783783784,0.5405405405405406,0.0,0.0,0.0,0.0
parsorbitalis-lh,0.20689655172413793,0.0,0.0,0.0,0.7931034482758621,0.0,0.0,0.0
parstriangularis-rh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
temporalpole-rh,0.0,0.3548387096774194,0.0,0.0,0.0,0.0,0.4838709677419355,0.16129032258064516
transversetemporal-rh,0.0,0.19444444444444445,0.0,0.0,0.0,0.0,0.08333333333333333,0.7222222222222222
