,Fp1,FT9,TP9,Oz,P8,TP10,Fp2,AF8
Fp1,0.49206349206349204,0.0,0.0,0.0,0.0,0.0,0.5079365079365079,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.5099601593625498,0.0,0.0,0.0,0.0,0.4900398406374502
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.37349397590361444,0.0,0.0,0.0,0.0,0.0,0.6265060240963856,0.0
AF8,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
