,Fp1,FT9,P3,Oz,O2,Fp2,AF7,PO4
Fp1,0.13333333333333333,0.2,0.2,0.0,0.0,0.2,0.2,0.06666666666666667
FT9,0.1,0.2,0.25,0.0,0.0,0.15,0.25,0.05
P3,0.028169014084507043,0.056338028169014086,0.647887323943662,0.0,0.0,0.04225352112676056,0.2112676056338028,0.014084507042253521
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0,0.0,0.16666666666666666,0.2222222222222222,0.05555555555555555
AF7,0.05,0.1,0.4,0.0,0.0,0.075,0.35,0.025
PO4,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091
